rating,sentiment,clean_review
5,positive,good
5,positive,good service
5,positive,nice
1,negative,free trials least guys free credits check app work
5,positive,fast easy generously educational
1,negative,ok
5,positive,gooo
5,positive,good
3,neutral,get free trial
5,positive,awesome
1,negative,dosent test cant try
4,positive,soo good
1,negative,anujkumar
5,positive,amazing chart ai
1,negative,started check revenue every analyze revenue unfortunately didnt get useful tip api sell smog
5,positive,chartby simple yet powerful tool creating clear professional charts easy use intuitive perfect quick data visualization
4,positive,good app especially uptrend downtrend scenarios
4,positive,better know charts
5,positive,best
5,positive,gold
5,positive,best regards
3,neutral,good
5,positive,nic
5,positive,splendid
5,positive,good
1,negative,identify image tried multiple times
5,positive,good one
1,negative,takes long open
5,positive,good
4,positive,try first
5,positive,absolutely love concept
5,positive,okay
1,negative,analysis current drug shelving protocols development optimized practices pharmacy namehealth care facility name enhance medication safety efficiency
5,positive,like
4,positive,good ai
3,neutral,prove workout
4,positive,great
1,negative,keep hitting sl
1,negative,keeps saying image identifying waste money
1,negative,l used first time
4,positive,best app
3,neutral,cool
5,positive,good idea
5,positive,amazing easy newbie
1,negative,identify chart errors
1,negative,doesnt work mobile screenshot mt ctrader refund buy aware
5,positive,great app
5,positive,great
4,positive,good site
4,positive,best ai chart analyzer
5,positive,let rate stars im still yet use
5,positive,good app
5,positive,nice app
5,positive,best
5,positive,good app excellent performance
3,neutral,good work
4,positive,wish found chartby early trading good
2,negative,auto trading
5,positive,like
5,positive,love appp
5,positive,superb
5,positive,fine
5,positive,great
1,negative,one worst experiences feels like scam rarely leave reviews app deserves warning others customer service absolutely terribleno responses help nothing top app doesnt even give proper results received signals made sense asked clarification completely ignored feels like total scam dont waste time money far better transparent tools available
4,positive,fantastic
3,neutral,check like
5,positive,good
4,positive,brillianto
1,negative,broken app
5,positive,number one
3,neutral,let try
1,negative,app wast time even updated r still perform trust words warning going download app
5,positive,awesome app
5,positive,write queries joins show customers account details display list transactions given account show total balance per customer list customers one account find accounts balance naira calculate vat transaction table
5,positive,good aap
5,positive,nice
1,negative,customer service number attendant poor services
1,negative,good app
5,positive,thanks
5,positive,amazing
5,positive,great views
1,negative,dont think good app read charts uploaded regardless definition l cancelled subscription
5,positive,goodl
5,positive,hi iraq one best ai
5,positive,profitable
5,positive,great
5,positive,good app try
5,positive,helps tradings beginner game changer
5,positive,app legit
5,positive,gud money paying
5,positive,good project
1,negative,every image app giving error unidentified image
5,positive,fantastic app
5,positive,helpful
5,positive,perfect app chart analysis
5,positive,efficient
5,positive,good app
5,positive,helped lots
1,negative,app started working fine week later keeps saying cant identify charts feeding along watch ad everytime analyze chart whether app recognise point ad machine
2,negative,go
4,positive,excellent havent quite seen signal app even free signals could make one quite profit able hats guys
5,positive,good keep
5,positive,excellent app
5,positive,app amazing
5,positive,best app ever
4,positive,good experience ive trying year
5,positive,havent tried yet
5,positive,good chart analysis
5,positive,iys realy good
5,positive,wow app good really like graphics motion
5,positive,really appreciate
5,positive,wow
5,positive,good enough
3,neutral,good chart ai
5,positive,wonderful experience
4,positive,good
5,positive,perfect
5,positive,good app
4,positive,nice
5,positive,awesome
5,positive,app best
5,positive,fresh
1,negative,wast time
5,positive,good app
5,positive,ive downloaded itill give try look promising
1,negative,thank god came reviews first downloading
1,negative,asking review letting use
1,negative,using asking review
2,negative,good
5,positive,nice easy analyze market
5,positive,best app ever
1,negative,bad analysis fake app use app uae time pm trust ap take trade app analysis bad trad go loss bad bad fake
5,positive,started
5,positive,nice app
5,positive,excellent
5,positive,good
5,positive,like app
5,positive,excellent
5,positive,provide good analysis
5,positive,first time using hopefully goes well
3,neutral,downloaded ill update use
5,positive,good
1,negative,frod
5,positive,helps seriously making trading easier faster
5,positive,good good
5,positive,amazing app
5,positive,good app
5,positive,excellent tool
5,positive,app one best reviewing
5,positive,good app analysis
5,positive,platform great
3,neutral,one greatest apps
5,positive,love
5,positive,test soon rating good bcos love idea chart ai
5,positive,amazing app
5,positive,perfect
1,negative,absolutely amazing perfect
5,positive,yooo
2,negative,used ok
4,positive,useful
4,positive,idea
4,positive,well justjust downloaded app want test live account months
5,positive,best
5,positive,good fast free
1,negative,first asks give rate even tested app thats sus uploading photo multiple ads run toghether anyway result garbage like whole app dont install try normal ai asistant
4,positive,great app opened im done come back
5,positive,good helpful app indeed
5,positive,exilent
5,positive,great app awesome work love
5,positive,goods apps
1,negative,reviewing without using
2,negative,first good work paid error show try different image sad
1,negative,scamm app lost full capital
2,negative,need test first
1,negative,bkwas app bad app truly analysis fake
3,neutral,let hope works
5,positive,easy use
4,positive,nice app
5,positive,good really save lot time money
3,neutral,goog
5,positive,awesome
4,positive,lets see
3,neutral,nice
1,negative,nice app
5,positive,good app trading
1,negative,app bad app
1,negative,used yet
1,negative,bakwas
5,positive,best ai
4,positive,dont know experience yet app
5,positive,app seems greati surely edit review time usage
1,negative,forcing rate use unprofessional raises red flags also noticed fake comments comment section experienced trader put test see value change score cant give zero
1,negative,letting use app rating kind bad practice needs star
4,positive,good app
3,neutral,use experienced karke rating dunga
5,positive,yes good
5,positive,looks good
5,positive,app good guys
4,positive,startedmy rating based ratings
5,positive,pretty good
5,positive,like app
1,negative,everything predicted opposite
5,positive,good stuff
4,positive,good better
5,positive,exceptional
1,negative,dont start use app yet
1,negative,cant even know thing tell buy sell give sl tp dont give either buy sell pls work app showing either buy sell
2,negative,bad
5,positive,excellent one
5,positive,okkk
5,positive,good app
5,positive,best ai app ever
1,negative,star need try first
5,positive,great app
5,positive,love everything app
1,negative,anyone use app ek baar aap log isko without chart ke photo click karke send karna uske baad dekhna kya hota hai intresting
2,negative,review properly let use first
1,negative,asking review use foolish app
3,neutral,dont know good bad reviewed opening app interface popped
4,positive,okay
3,neutral,downloaded test ir
2,negative,h nice
2,negative,havent tested yet
5,positive,much
2,negative,fine
5,positive,amazing
5,positive,wow
5,positive,good
5,positive,thats good app
5,positive,ok guzle
5,positive,goid
5,positive,nice
3,neutral,good app
5,positive,nice
5,positive,awesome thanks
5,positive,beneficial
5,positive,app good works properly
2,negative,still trying interface looks goodana test trades
3,neutral,tell something use app
3,neutral,im new app wish help
5,positive,works
2,negative,first check
5,positive,amongbrhe best
2,negative,downloaded come back review ratings testing
5,positive,nice app
3,neutral,check bu asking rating giving start
4,positive,makes understand chart better
5,positive,im getting started think app great
5,positive,cant wait try
1,negative,like im judging book covercoz didnt give chance maybe run apps minutesfor wont give feedback coz dont know performance
5,positive,good app charts analysis
2,negative,give checking app
1,negative,cause didnt tested want rate
5,positive,come back review
2,negative,wish
5,positive,really nice
5,positive,nice app give try
5,positive,fantastic app
1,negative,bad app froude work prediction full ads recommend one download apps
5,positive,good
5,positive,love
4,positive,gud
5,positive,better platform
1,negative,always eror
3,neutral,great
1,negative,bought subscription upload picture keeps saying error upload another picture ive redone multiple times still wont work buy
4,positive,good app
5,positive,let see back feedback
3,neutral,back updated review testing
1,negative,bad
5,positive,using asking rating
5,positive,need
1,negative,sampah
4,positive,ok good excellent job
5,positive,amazing
4,positive,best platform
3,neutral,cool
3,neutral,give star rating yet use
1,negative,making us review app testing fair
4,positive,great job keep
1,negative,ok
5,positive,app life saver used app make passed funded account one hour best beast
5,positive,good analysis
3,neutral,super
5,positive,good go
5,positive,looks pretty decent
4,positive,good still going test
1,negative,force review open downloaded apps
5,positive,best app ever
1,negative,worst scammer ever
